"Story","Title","Result","Date","Stability","Duration (s)"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-08-14T23:30:28.200186645Z[Etc/UTC]","0.0","2.48"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-08-14T23:30:31.061108156Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-08-14T23:30:32.318429166Z[Etc/UTC]","0.0","1.12"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-08-14T23:30:33.629870113Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-08-14T23:30:34.770286795Z[Etc/UTC]","0.0","1.29"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-08-14T23:30:36.252196242Z[Etc/UTC]","0.0","1.4"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-08-14T23:30:37.757411061Z[Etc/UTC]","0.0","1.47"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-08-14T23:30:39.338600984Z[Etc/UTC]","0.0","1.48"
"Completing todos","Mark a task as completed","SUCCESS","2022-08-14T23:31:24.690887772Z[Etc/UTC]","0.0","1.29"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-08-14T23:31:26.084955654Z[Etc/UTC]","0.0","3.21"
"Deleting todos","Delete an active item","SUCCESS","2022-08-14T23:31:29.402704933Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Delete all the items","SUCCESS","2022-08-14T23:31:30.658406326Z[Etc/UTC]","0.0","3.15"
"Filtering todos","View only the completed items","SUCCESS","2022-08-14T23:31:33.915294247Z[Etc/UTC]","0.0","1.26"
"Filtering todos","Viewing the items by status","SUCCESS","2022-08-14T23:31:35.289527675Z[Etc/UTC]","0.0","3.4"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-08-14T23:31:06.046939527Z[Etc/UTC]","0.0","1.07"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-08-14T23:31:07.221811795Z[Etc/UTC]","0.0","1.07"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-08-14T23:31:08.448210747Z[Etc/UTC]","0.0","1.35"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-08-14T23:31:11.04481583Z[Etc/UTC]","0.0","1.45"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-08-14T23:31:12.601058643Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-08-14T23:31:14.044487909Z[Etc/UTC]","0.0","1.32"
